kernel_name,shape_hash,config_hash,config,shape_features,timing_ms
attention,a1ec483c2a67f891,e5d1e1158403f68f,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [2, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [2, 3], ""range_multi_buffers"": [false, null], ""range_flattens"": [false, false], ""load_eviction_policies"": [""first"", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 32}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 2048, ""arg0_dim3"": 64, ""arg0_numel"": 16777216, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 2048, ""arg1_dim3"": 64, ""arg1_numel"": 16777216, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 2048, ""arg2_dim3"": 64, ""arg2_numel"": 16777216, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",0.38573794657582633
attention,a87a3388d12a5969,2c0b68bad18a5f12,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.235703029283663
attention,a87a3388d12a5969,62ac21439a5fed69,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [16], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, null], ""load_eviction_policies"": [""last"", ""first"", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.210797658780726
attention,a87a3388d12a5969,f30dd4edd9b91733,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": ["""", """", ""last""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.26068293891455
attention,a87a3388d12a5969,b55069300a6e08b9,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""last"", ""last"", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.2394103407859802
attention,a87a3388d12a5969,2283fbc9663fae05,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 0], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.2392534613609314
attention,a87a3388d12a5969,240b00f853197fc9,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 2], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 0], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, false], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.650597337881724
attention,a87a3388d12a5969,8ae0a75c77e9e78c,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [false, false], ""range_num_stages"": [2, 1], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 32}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.6076940550948635
attention,a87a3388d12a5969,2799567b1c7e50b2,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [4, 2], ""range_warp_specializes"": [null, null], ""range_num_stages"": [1, 1], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 64}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.6129317970599157
attention,a87a3388d12a5969,8e944d13180c4f4d,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [16], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""first"", ""last""], ""num_warps"": 8, ""num_stages"": 7, ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.6074863930543264
attention,a87a3388d12a5969,e5d1e1158403f68f,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [2, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [2, 3], ""range_multi_buffers"": [false, null], ""range_flattens"": [false, false], ""load_eviction_policies"": [""first"", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 32}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.4671158112012423
attention,1441d2da71eedf40,2c0b68bad18a5f12,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.87914666675386
attention,1441d2da71eedf40,62ac21439a5fed69,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [16], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, null], ""load_eviction_policies"": [""last"", ""first"", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.95199391955421
attention,1441d2da71eedf40,f30dd4edd9b91733,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": ["""", """", ""last""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.910860152471633
attention,1441d2da71eedf40,b55069300a6e08b9,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""last"", ""last"", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.904688000679016
attention,1441d2da71eedf40,2283fbc9663fae05,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 0], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.935494150434222
attention,1441d2da71eedf40,240b00f853197fc9,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [4], ""range_unroll_factors"": [0, 2], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 0], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, false], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",6.4725931485493975
attention,1441d2da71eedf40,8ae0a75c77e9e78c,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [false, false], ""range_num_stages"": [2, 1], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 32}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",6.5863359675687905
attention,1441d2da71eedf40,2799567b1c7e50b2,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [8], ""range_unroll_factors"": [4, 2], ""range_warp_specializes"": [null, null], ""range_num_stages"": [1, 1], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""first"", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 64}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",6.334534390767415
